,Basic Materials,Technology,"Consumer, Non-cyclical",Communications,Energy,Financial,"Consumer, Cyclical",Utilities,Industrial
321,,,,VIAB,,,,,
322,,,EL,,,,,,
323,,,,,MEE,,,,
324,,,LO,,,,,,
325,,CNDT,,,,,,,
326,,,CHD,,,,,,
327,,,EFX,,,,,,
328,,,,,,FCPT,,,
329,,,,,,STT,,,
330,,,,,,,,PPL,
331,,,,,,,PETM,,
332,,,,CMCSK,,,,,
333,,,,,,,,,VMC
334,,,,,HP,,,,
335,,,,,,,,CNP,
336,,,,,,WY,,,
337,,,,,,,,TEG,
338,,,WFM,,,,,,
339,,,,SYMC,,,,,
340,,,,,,,,,PTV
341,,,CPB,,,,,,
342,,,,,,,ANF,,
343,,QCOM,,,,,,,
344,,,,,PXD,,,,
345,,INTC,,,,,,,
346,,,,,,,,,TXT
347,,,,,,,RL,,
348,,,,,,FITB,,,
349,,,,,,,HAS,,
350,,,,,,,,,PNR
351,,,DF,,,,,,
352,,,,TGNA,,,,,
353,,,,TLAB,,,,,
354,,,,,,,,,EXPD
355,,,,,,V,,,
356,,PBI,,,,,,,
357,,ANSS,,,,,,,
358,,,,,,,,,COL
359,,CDNS,,,,,,,
361,,,HSP,,,,,,
362,,,,,,,,SCG,
363,,,,,,,ORLY,,
364,,,,,,,,,ETN
365,,,ABBV,,,,,,
366,,,,,,,,,UTX
367,,,,,SWN,,,,
368,,,,,VLO,,,,
369,,,TAP,,,,,,
370,,,APOL,,,,,,
371,,,,,,STI,,,
372,,CSC,,,,,,,
373,,SWKS,,,,,,,
374,,,,,,,FDO,,
376,,,,,,,LEN,,
377,,,,FB,,,,,
378,,,,,,,,,SEE
379,,,AVY,,,,,,
380,,,,TWX,,,,,
381,CLF,,,,,,,,
382,,,,VIAV,,,,,
383,,,,,,,,AYE,
384,,,,,,,,,LMT
385,,AMAT,,,,,,,
386,,AAPL,,,,,,,
387,,,,FFIV,,,,,
388,,,,,,,,,CHRW
389,,MU,,,,,,,
390,,,NLSN,,,,,,
391,,,,,MUR,,,,
392,,,ABC,,,,,,
393,,,,,,HIG,,,
394,,,,,APA,,,,
395,,,,FOXA,,,,,
396,,,,,,,,LNT,
397,,,KRFT,,,,,,
398,,,,,BTUUQ,,,,
399,,,,NFLX,,,,,
400,,,,,,,,,MWV
401,,,,,,AMP,,,
402,,,,,XEC,,,,
403,,MCHP,,,,,,,
404,,,,,,,GPS,,
405,,,,,,FRT,,,
406,,,,FTR,,,,,
407,ATI,,,,,,,,
408,LYB,,,,,,,,
409,,,,,,,ULTA,,
410,,,,,,,FOSL,,
411,,,,,,,TSCO,,
412,,,,,,,,,UNP
413,,,EVHC,,,,,,
414,,,CTAS,,,,,,
415,,,,,,ICE,,,
416,,,,,,PLD,,,
417,,,DGX,,,,,,
418,,,,,,,BIG,,
419,,,,GOOG,,,,,
420,,,,DISCK,,,,,
421,,,,,,AFL,,,
422,,ORCL,,,,,,,
423,,,,,,,,FE,
424,,,,,,MI,,,
425,,,PYPL,,,,,,
426,,,,,,VTR,,,
427,,,GENZ,,,,,,
428,,,,VZ,,,,,
429,,,CAG,,,,,,
430,,,ZBH,,,,,,
431,,,LW,,,,,,
432,,,,,,,KORS,,
433,,AMD,,,,,,,
434,,,SJM,,,,,,
435,,,ATGE,,,,,,
436,,,,,,ARE,,,
437,,,GIS,,,,,,
438,,,,,,,,,PKI
439,,,,,,,,,A
440,,,PRGO,,,,,,
441,,,,,,ETFC,,,
442,,,,,,CINF,,,
443,,,,,,,KMX,,
444,,WDC,,,,,,,
445,,,,,COP,,,,
446,,,,NWSA,,,,,
447,,,,,,IRM,,,
448,,,,,NE,,,,
449,,,BXLT,,,,,,
450,,,TSN,,,,,,
451,,,,OMC,,,,,
452,,TDC,,,,,,,
453,,,GILD,,,,,,
454,,,KO,,,,,,
455,,,,,,,BBY,,
456,,,,,,,MHK,,
457,,,SPGI,,,,,,
458,,FIS,,,,,,,
459,,,,,KMI,,,,
460,,,HCA,,,,,,
461,,,,,SII,,,,
462,,,,,,L,,,
463,,,,,,,F,,
464,,,CCE,,,,,,
465,,,,,,UNM,,,
466,,,,,,,LOW,,
467,,,,,,BXP,,,
468,,,,,,,,,OI
469,,,MO,,,,,,
470,PX,,,,,,,,
471,,,RHI,,,,,,
472,,,,,,,YUM,,
473,,,,,,NYX,,,
474,,,,,,,,PNW,
475,,ADBE,,,,,,,
476,,,,,,,,,BLL
477,,,,,,,,,CAT
478,,,,,,,ADNT,,
479,,,,,,,MCD,,
480,,,,,,C,,,
481,,,,,,,,EIX,
482,,,,,,HCBK,,,
483,,XRX,,,,,,,
484,,CERN,,,,,,,
485,,CSRA,,,,,,,
486,,,INFO,,,,,,
487,,,STZ,,,,,,
488,,,,,,,WHR,,
489,,,,,,,GM,,
490,,,,,,,,,PH
491,,,,,,,,,CSX
492,,,,IPG,,,,,
493,X,,,,,,,,
494,,,XRAY,,,,,,
495,,,,,,,ODP,,
496,,ADSK,,,,,,,
497,,,,,,AXP,,,
498,,,,,RIG,,,,
499,,FISV,,,,,,,
500,,,,,,,,,DOV
501,,,,,,,,,PCP
502,,,,,,,,,ALLE
503,,,,,FTI,,,,
504,,,,,,PGR,,,
505,,TXN,,,,,,,
506,,,TMO,,,,,,
507,,,,,,,,AWK,
508,,,,,EOG,,,,
509,,EKDKQ,,,,,,,
510,,,,,,,,DUK,
511,,,,,EP,,,,
512,,,,,,MAC,,,
513,,,,,,,,,BDK
514,,,MDT,,,,,,
515,,,,,,PRU,,,
516,,,,,,CFG,,,
517,,,,,,NDAQ,,,
518,,,,,,,,,R
519,,,,,,TROW,,,
520,,,,TRIP,,,,,
521,,,,,,,M,,
522,,ADI,,,,,,,
523,,,,CTL,,,,,
524,,,,,,,,ES,
525,,,PM,,,,,,
526,,AKAM,,,,,,,
527,,,,,,SBAC,,,
528,,,,,NBR,,,,
529,,,ALGN,,,,,,
530,,,,,,,HOT,,
531,FCX,,,,,,,,
532,,,MKC,,,,,,
533,,,,,,HST,,,
534,,,DVA,,,,,,
535,,,,,,,,,AYI
536,,,,CVC,,,,,
537,,,,CARS,,,,,
538,,,HSY,,,,,,
539,,,,,,,TJX,,
540,TIE,,,,,,,,
541,,,,,,,COST,,
542,,CTSH,,,,,,,
543,NEM,,,,,,,,
544,,,,,,,TGT,,
545,,DELL,,,,,,,
546,,,CEPH,,,,,,
547,,KLAC,,,,,,,
548,,,TSS,,,,,,
549,,,,,,RJF,,,
550,,,,,ANRZQ,,,,
551,,,,,CVX,,,,
552,,,,,,PFG,,,
553,,,,,,,,,NOC
554,,,,EXPE,,,,,
555,,,,,,AMG,,,
556,,QLGC,,,,,,,
557,,TER,,,,,,,
558,,,,,,,SBUX,,
559,,,,,,JPM,,,
560,,,VRSK,,,,,,
561,,,,,,,,D,
562,,,,,,WFC,,,
563,,,,,,,HBI,,
564,,,,,WMB,,,,
565,,,DHR,,,,,,
566,,,CLX,,,,,,
567,,,,,,QCP,,,
568,,,,,,,PCAR,,
569,,,RAI,,,,,,
570,,,HNZ,,,,,,
571,,,,,,AIG,,,
572,,,KG,,,,,,
573,,,,,,MMC,,,
574,,,,,,SLG,,,
575,,,MNK,,,,,,
576,,,,,,,,,HRS
577,,,,,,,,,LLL
578,,DNB,,,,,,,
579,,,,,,,,EXC,
580,,,,,OXY,,,,
581,,,,,,,,ED,
582,,,BIIB,,,,,,
583,,,,,CNX,,,,
584,,,,,,,,,WAT
585,,,,,,,,,FBHS
586,IFF,,,,,,,,
587,,,COTY,,,,,,
588,,,,,,SYF,,,
589,,,,,,ALL,,,
590,,,,,ESV,,,,
591,,,ZTS,,,,,,
592,,,,,,,,SO,
593,MON,,,,,,,,
594,,,,,,BEN,,,
595,,,,,MPC,,,,
596,,,,,,SCHW,,,
597,,,,,,,SHLD,,
598,,ACN,,,,,,,
599,,,,,,PCL,,,
600,,,,SNI,,,,,
601,,,,,,,,,MMM
602,,,,,,,,,TEL
603,,,,,,MAA,,,
604,,,,,,AMT,,,
605,,,,,,GNW,,,
606,,LXK,,,,,,,
607,,,,,,,,,DE
608,,,,,,,DG,,
609,,,,,,AIV,,,
610,,,HOLX,,,,,,
611,,,,,,,FAST,,
612,,,,TMUS,,,,,
613,SHW,,,,,,,,
614,,,,,,,,,GD
615,,,,,,,WYNN,,
616,,,CAH,,,,,,
